[INF]game start
[GM]create wall near
[GM]create wall near
[GM]your power decrease
[GM]your power decrease
[GM]create wall near
[GM]destroy wall near
[GM]your health decrease
[GM]destroy wall near
[GM]your health decrease
[GM]your health buf
[GM]your health buf
[GM]your health decrease
[GM]your health buf
[GM]create wall near
[GM]your health decrease
[GM]create wall near
[GM]create wall near
[GM]your power decrease
[GM]destroy wall near
[GM]destroy wall near
[GM]create wall near
[GM]create wall near
[GM]your health buf
[GM]your health buf
[GM]your health decrease
[GM]your power decrease
[GM]your health buf
[GM]your health decrease
[GM]create wall near
[GM]your health decrease
[GM]your health decrease
[GM]destroy wall near
[GM]your health buf
[GM]your health decrease
[GM]your health buf
[GM]your health buf
[GM]create wall near
[GM]create wall near
[GM]destroy wall near
[GM]your health decrease
[GM]your power decrease
[GM]destroy wall near
[GM]your health decrease
[GM]create wall near
[GM]destroy wall near
[GM]create wall near
[GM]your health buf
[GM]your health decrease
